Sample	Number_Input_Reads	Average_Mapped_Length	Number_Unique_Mapped	Percent_Unique_Mapped	Number_Multi_Mapped	Percent_Multi_Mapped	Number_Too_Many_Multi_Mapped	Percent_Too_Many_Multi_Mapped	Percent_Unmapped_Mismatches	Percent_Unmapped_Too_Short	Percent_Unmapped_Other	Number_Chimeric_Reads	Percent_Chimeric_Reads
05-11-Final-8ul	35529777	191.77	22696966	63.88	6148266	17.30	215008	0.61	0.00	18.21	0.00	0	0.00
5	26420166	190.13	16634357	62.96	4487201	16.98	111867	0.42	0.00	19.63	0.00	0	0.00
6	30962315	180.82	17083512	55.18	4598768	14.85	263711	0.85	0.00	29.12	0.00	0	0.00
8	27227728	189.92	17228218	63.27	5183696	19.04	125238	0.46	0.00	17.22	0.01	0	0.00
Ae_Cho_2	20520644	179.96	11511996	56.10	2962308	14.44	186182	0.91	0.00	28.55	0.00	0	0.00
Ae_Cho_3	23694733	182.28	13584577	57.33	3821799	16.13	220204	0.93	0.00	25.61	0.00	0	0.00
Ae_Chu_2	25181563	179.53	14786707	58.72	2626465	10.43	115744	0.46	0.00	30.37	0.01	0	0.00
Ae_Gae_2	20668376	179.60	11844430	57.31	2594395	12.55	144533	0.70	0.00	29.30	0.14	0	0.00
Ae_Gae_3	19178884	178.18	10313951	53.78	3073704	16.03	201910	1.05	0.00	28.86	0.28	0	0.00
Ae_Hu_2	18349436	181.12	10116539	55.13	2985765	16.27	171269	0.93	0.00	27.66	0.00	0	0.00
Ae_Hu_3	20875769	186.29	13097423	62.74	3235728	15.50	140057	0.67	0.00	21.09	0.00	0	0.00
Ae_Yeong_2	23189402	181.12	13526646	58.33	3147736	13.57	168254	0.73	0.00	27.37	0.00	0	0.00
Ae_Yeong_3	23923621	181.25	13722434	57.36	3508343	14.66	227464	0.95	0.00	27.02	0.00	0	0.00
