217	1853
270	1654
271	1021
312	1906
334	1039
340	1409
341	1165
356	1628
357	1506
359	1789
371	7251
467	2576
570	5145
581	1131
609	3260
610	1130
631	1521
651	3200
652	1383
660	1297
669	1562
670	2845
671	2231
675	1391
744	1607
745	1879
783	1412
784	1412
785	1519
869	3246
888	1635
928	1373
1030	1793
1031	1316
1199	3064
1249	1058
1312	4916
1376	1583
1378	1142
1395	1504
1561	1366
1679	3300
1683	1226
1685	1206
1698	2023
1836	1340
1869	1670
1881	1406
1882	1497
1894	3062
1956	1018
2031	1332
2088	1681
2168	1400
2186	1405
2297	4353
2298	1733
2299	1268
2301	4211
2309	3415
2330	1732
2361	1126
2428	2232
2431	1565
2432	1215
2433	1277
2450	1562
2509	1328
2539	3921
2541	2543
2543	2018
2546	1923
2571	2249
2575	1349
2577	1479
2579	1445
2587	2686
2635	1603
2667	1150
2683	1678
2685	3538
2691	2085
2699	3629
2715	2898
2739	4913
2780	1012
2798	1166
2802	1159
2813	1109
2937	1476
2939	1038
2945	1154
2952	1162
3060	2614
3062	1609
3063	1542
3096	1760
3097	1232
3127	2120
3143	1714
3196	1036
3209	1097
3210	4677
3211	4677
3236	1097
3240	1283
3290	2164
3327	1421
3328	1226
3329	1850
3344	1323
3349	1373
3357	1965
3437	1099
3438	1132
3453	2217
3551	1312
3567	1876
3583	1463
3623	1138
3624	1308
3637	2997
3654	4601
3655	2772
3735	1410
3736	1375
3741	1000
3742	1000
3745	1194
3796	1197
3805	1628
3871	1062
3872	1165
3885	3447
3901	1717
3903	1112
3904	1251
3962	1495
3994	1027
4010	1724
4025	1148
4041	1693
4091	1692
4092	1747
4159	1872
4161	1785
4162	2729
4163	2217
4164	2427
4175	1198
4223	1482
4224	3403
4239	1219
4318	2662
4350	1196
4366	1894
4465	2449
4475	1118
4476	1108
4516	1210
4530	1020
4537	1319
4547	1086
4565	2509
4567	1394
4576	1055
4592	1226
4655	2391
4671	1411
4672	1029
4673	1024
4707	1360
4716	1317
4720	1446
4728	1059
4748	1903
4750	1702
4785	1006
4788	2575
4789	2215
4798	2521
4801	1978
4806	2038
4852	1972
4853	1827
4855	1534
4929	1799
4942	1989
4956	5537
4957	3038
4960	2416
4968	4295
4980	1766
5033	1661
5035	2851
5036	2666
5085	2433
5096	3228
5098	2400
5100	1400
5101	1435
5120	1054
5135	1423
5136	1434
5146	5226
5166	1007
5171	1613
5254	3052
5267	1289
5331	2066
5347	1713
5391	1579
5392	1603
5402	2468
5419	1495
5421	1389
5424	1656
5446	2269
5447	1370
5448	2932
5452	1309
5453	1482
5454	3362
5461	1589
5480	3374
5483	1032
5512	2226
5527	1106
5528	1968
5533	1548
5538	1640
5566	3266
5567	1819
5568	1829
5570	1021
5575	1442
5576	1463
5596	2912
5598	1159
5599	1156
5603	1331
5612	5597
5638	1760
5640	1738
5645	1725
5675	2066
5677	1594
5678	1349
5679	2671
5683	1241
5712	2637
5713	2805
5714	3256
5715	2702
5719	3873
5728	1099
5738	4374
5739	3428
5740	3747
5751	1122
5758	1362
5759	1503
5778	1891
5818	1391
5819	1893
5826	1943
5838	2700
5839	2728
5848	3178
5849	1928
